"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","令和元年(2019)","令和２年(2020)","経度","緯度","分類"
"129","302066","田辺(県)-8","地価調査","住宅","田辺市","鮎川字下附５１９番１３","","135.48146","33.72726","","","","","","","","","","28000","27700","27200","26700","26200","25700","25000","24300","23400","22400","21300","20400","19900","19500","19200","18900","18500","18200","17,900","135.481460000006","33.7272599999991","令和２年地価調査基準地"
"122","302066","田辺(県)-9","地価調査","住宅","田辺市","中芳養字嶋之谷１７５７番","","135.35313","33.77838","30000","30000","30000","30000","30000","30000","29400","29000","28500","28000","27500","26900","26300","25700","25200","24500","23800","22800","21700","20600","20000","19500","19000","18500","18200","18000","17800","17,500","135.353130000007","33.7783799999974","令和２年地価調査基準地"
"126","302066","田辺(県)-10","地価調査","住宅","田辺市","中辺路町栗栖川字神田３３８番３","","135.51737","33.79004","","","","","","","","","","","27000","26000","25000","24100","23000","22000","21400","20800","20000","19300","18700","18300","18000","17800","17500","17200","16900","16,600","135.517370000005","33.7900399999991","令和２年地価調査基準地"
"127","302066","田辺(県)-11","地価調査","住宅","田辺市","本宮町伏拝字日浦１０２１番４","","135.75816","33.86791","17700","17700","17700","17700","17700","17500","17300","17300","16900","16700","16500","16100","15900","15500","15000","14500","14000","13500","13000","12300","11900","11500","11200","11000","10700","10400","10100","9,800","135.758160000004","33.8679099999958","令和２年地価調査基準地"
"304","302066","田辺(県)5-1","地価調査","商業","田辺市","下万呂字裏代３６３番１外","","135.39534","33.73782","","","","","","","","","","","","","","","","","","","","","87000","85000","84500","84300","84100","83900","83700","83,700","135.395340000005","33.7378199999997","令和２年地価調査基準地"
"133","302066","田辺(県)5-2","地価調査","商業","田辺市","上の山２丁目１１４９番１１","上の山２－１５－１９","135.36253","33.73495","120000","120000","119000","118000","118000","116000","108000","101000","97000","91000","85200","81000","77000","73400","70800","67000","63300","59500","55500","51700","49500","47800","46800","46000","45500","45000","44800","44,500","135.362530000006","33.7349499999973","令和２年地価調査基準地"
"134","302066","田辺(県)5-3","地価調査","商業","田辺市","宝来町８１４番２","宝来町１４－２４","135.38833","33.73217","","","","","","","","","","175000","156000","141000","128000","119000","112000","103000","92700","85300","78500","75400","73800","73500","73300","73200","73100","73000","72900","72,900","135.388330000004","33.7321699999998","令和２年地価調査基準地"
"65","302015","和歌山(県)9-1","地価調査","工業","和歌山市","宇須４丁目１７８番５","宇須４－４－９","135.1775","34.20901","119000","118000","116000","110000","105000","99000","93000","89200","80000","72000","64000","57500","52900","48700","46000","43500","41000","38900","36900","34600","32500","30600","29400","28400","27600","27000","26600","26,200","135.177500000002","34.2090099999982","令和２年地価調査基準地"
"313","302015","和歌山(県)9-2","地価調査","工業","和歌山市","西浜字中川向ノ坪１６６０番７７外","","135.15177","34.20496","","","","","","","","","","","","","","","","","","","","","","","25000","24500","24000","23600","23300","23,000","135.151770000004","34.2049599999989","令和２年地価調査基準地"
"70","302023","海南(県)-1","地価調査","住宅","海南市","黒江字室山１番６０","","135.20852","34.1698","143000","143000","140000","139000","138000","137000","134000","131000","127000","121000","112000","104000","96000","89000","84500","81500","78500","75300","72300","70000","67500","65300","63200","61400","60200","59200","58500","57,800","135.208520000004","34.1697999999958","令和２年地価調査基準地"
"71","302023","海南(県)-2","地価調査","住宅","海南市","日方字新濵１２７２番６３","","135.20782","34.15692","167000","167000","163000","160000","158000","156000","153000","149000","144000","137000","127000","118000","109000","101000","95000","91800","88500","85000","79900","75100","70500","67000","64300","62000","60700","59200","57700","56,400","135.207820000005","34.1569199999955","令和２年地価調査基準地"
"78","302023","海南(県)-3","地価調査","住宅","海南市","下津町中字横手６７番１","","135.17747","34.12548","48700","48700","48700","48700","48700","48700","48400","48200","48000","47000","45000","43300","41700","40200","38900","37800","36600","35400","34000","32600","31300","30500","29800","29100","28500","27900","27400","27,000","135.177470000003","34.1254799999962","令和２年地価調査基準地"
"73","302023","海南(県)-4","地価調査","住宅","海南市","名高字赤倉３６９番１","","135.21343","34.15035","98600","98600","97000","96000","96000","96000","95000","94000","93000","87500","82000","77000","71600","66600","63500","60800","58400","56000","50400","48400","46400","44500","42800","41200","40200","39100","38100","37,100","135.213430000005","34.150349999996","令和２年地価調査基準地"
"74","302023","海南(県)-5","地価調査","住宅","海南市","阪井字高畑ヶ１５４６番３","","135.27249","34.15972","64000","64000","63500","63000","63000","62700","62300","61600","60900","58300","55500","52900","49700","47000","45300","43700","42500","41000","39700","38300","38000","37800","37300","37000","36800","36600","36500","36,200","135.272490000004","34.1597199999983","令和２年地価調査基準地"
"75","302023","海南(県)-6","地価調査","住宅","海南市","井田字大坪１５３番４","","135.22313","34.15947","115000","115000","115000","114000","113000","112000","111000","109000","106000","102000","95000","88500","81500","76000","72300","70300","68700","66500","65300","63600","62900","61000","59400","58000","56700","55900","55200","54,500","135.223130000005","34.1594699999947","令和２年地価調査基準地"
"76","302023","海南(県)-7","地価調査","住宅","海南市","原野字東原ノ代３５２番１","","135.29795","34.18238","","","","","","","","","","","","26900","25300","24000","23100","22300","21700","21100","20500","19800","19400","19000","18500","18100","17800","17500","17200","16,900","135.297950000005","34.1823799999971","令和２年地価調査基準地"
"80","302023","海南(県)-8","地価調査","住宅","海南市","下津町丸田字佃１２８番４","","135.15711","34.12721","93000","92000","91800","91300","90800","90400","89000","88000","87000","84500","81000","77700","74500","69500","66300","63900","61600","59400","57000","55300","53500","51800","50200","48700","47300","46000","44800","43,700","135.157110000005","34.127209999996","令和２年地価調査基準地"
"326","302023","海南(県)5-1","地価調査","商業","海南市","重根字西垣内９番１外","","135.2388817","34.153431","","","","","","","","","","","","","","","","","","","","","","","","","","","64700","64,000","135.238881700002","34.1534309999974","令和２年地価調査基準地"
"82","302023","海南(県)5-2","地価調査","商業","海南市","船尾字東濱１８６番５６","","135.20735","34.15842","","","240000","235000","226000","215000","202000","190000","175000","158000","140000","129000","119000","110000","104000","99300","95200","91000","81000","73700","70000","69200","67600","66000","64700","63000","61400","59,800","135.207350000005","34.1584199999957","令和２年地価調査基準地"
"84","302023","海南(県)9-1","地価調査","工業","海南市","日方字新濵１２９４番２１","","135.20228","34.15318","85000","85000","82000","78500","75500","72000","69000","67000","65200","62400","57000","53000","49000","45500","43300","41800","38500","35400","32500","29800","27300","25200","23800","22900","22300","22300","22300","22,200","135.202280000004","34.1531799999954","令和２年地価調査基準地"
"335","302031","橋本(県)-1","地価調査","住宅","橋本市","隅田町中島字谷田１３９番６外","","135.6458840","34.3295770","","","","","","","","","","","","","","","","","","","","","","","","","","","","25,400","135.645884000005","34.3295769999992","令和２年地価調査基準地"
"86","302031","橋本(県)-2","地価調査","住宅","橋本市","胡麻生字向山６９３番１２","","135.6112","34.33931","","","","","","","100000","96000","88000","78000","68000","61500","55000","51100","48800","48300","46500","44000","41800","40200","38400","37100","36000","35000","34300","33700","33300","32,900","135.611200000003","34.3393099999973","令和２年地価調査基準地"
"87","302031","橋本(県)-3","地価調査","住宅","橋本市","小峰台１丁目１９番１７","","135.62366","34.35063","","101000","100000","99000","98500","97500","92000","88000","81000","71000","61500","55800","50200","47700","46100","45600","44000","42000","40100","38500","37100","36000","35000","34100","33400","32700","32100","31,400","135.623660000005","34.3506299999984","令和２年地価調査基準地"
"336","302031","橋本(県)-4","地価調査","住宅","橋本市","高野口町大野字上知山８６７番３外","","135.5529400","34.3086210","","","","","","","","","","","","","","","","","","","","","","","","","","","","23,700","135.552940000003","34.3086209999976","令和２年地価調査基準地"
"89","302031","橋本(県)-5","地価調査","住宅","橋本市","三石台３丁目９番２","","135.60056","34.35628","159000","159000","156000","152000","148000","145000","140000","133000","121000","110000","97000","91000","81000","78200","78200","78200","77000","74600","71600","70500","69700","69000","68500","68200","68000","67800","67600","67,400","135.600560000003","34.3562799999964","令和２年地価調査基準地"
"94","302031","橋本(県)-6","地価調査","住宅","橋本市","高野口町名古曽字竹鼻８２３番３","","135.56191","34.30503","87000","87000","86000","85000","83500","82000","79000","76200","72500","68000","61000","56000","50500","44400","43000","42000","40500","38500","36500","34600","32600","31400","30600","29900","29300","28900","28500","28,200","135.561910000001","34.3050299999972","令和２年地価調査基準地"
